hora_del_dia,dia_semana,dispositivo_nuevo,distancia_geo_aprox,sesiones_24h,monto_relativo,frecuencia_tx_sesion,ip_nueva,etiqueta
13,0,0,0.0,3,1.9257359113219867,1,0,0
10,4,0,0.0,2,1.0105873329292436,1,0,0
19,0,0,0.0,5,0.6979533106742393,5,0,0
21,5,0,0.0,2,1.2788168997574225,3,0,0
17,4,1,0.0,2,1.5982377295728014,4,0,0
14,0,0,0.0,1,0.48835188071411867,2,0,0
19,0,0,0.5,1,0.5156507576718691,2,0,0
11,6,0,0.0,0,0.39027464909104365,0,0,0
13,2,0,0.0,0,2.72190582714839,2,0,0
16,2,0,0.0,2,0.9556570544703855,1,0,0
9,5,0,0.5,4,0.06951287425174842,1,0,0
13,6,0,0.0,2,1.5899837409860722,2,0,0
17,6,0,0.0,5,0.5240030855062753,3,0,0
17,4,0,0.0,1,0.05698536329060797,1,0,0
14,2,0,0.0,1,0.6383036573359973,2,0,0
11,0,0,0.0,2,0.4318799315673946,1,0,0
10,4,0,0.0,0,1.6813458259516942,2,1,0
14,3,0,0.0,0,0.1825194510204338,1,0,0
14,2,0,0.0,4,1.4010989764193154,1,0,0
9,6,0,0.5,3,0.6525930609883391,3,0,0
12,0,0,0.0,1,0.04492644715261113,3,0,0
11,3,0,0.0,2,2.8560328181695716,1,0,0
8,0,0,0.0,0,0.5749611317208759,0,1,0
14,2,0,0.0,0,0.27498086252406995,3,0,0
18,0,0,0.0,1,0.5070077857419412,3,0,0
20,0,0,0.0,2,1.560741758437783,3,0,0
12,0,0,0.0,2,0.29096324300570536,0,0,0
8,4,0,0.0,1,0.17122455632803166,0,0,0
18,4,0,0.0,0,0.11055608358201217,0,0,0
11,3,0,0.0,3,0.28289728625415744,4,1,0
7,6,0,0.0,3,1.2114770671808417,1,0,0
18,2,0,0.0,3,0.5103612830884394,3,1,0
16,1,0,0.0,5,0.20647956520387206,0,0,0
12,5,0,0.0,2,0.14539497864286818,0,0,0
19,1,0,0.0,2,0.32364778627970436,4,0,0
18,6,0,0.0,3,2.2497208468462455,1,0,0
15,0,0,0.0,2,0.3360895358051264,2,0,0
7,6,0,0.0,2,3.0,4,0,0
17,0,0,0.0,2,0.5312287723148598,1,0,0
17,5,0,0.5,5,0.15794547706691997,0,0,0
21,3,0,0.5,4,1.7741547753614146,1,0,0
16,6,0,0.5,1,0.49347556357075856,2,1,0
18,0,0,0.0,5,0.9893933595512421,1,0,0
18,3,1,0.0,1,3.0,1,0,0
21,6,0,1.0,3,0.04118231256686899,1,0,0
20,3,0,0.0,1,0.08135562579748158,3,0,0
20,3,0,0.0,3,1.0196785817678984,1,0,0
21,4,0,0.0,4,0.26483360930401717,1,0,0
20,2,0,0.0,3,0.16296828100427518,3,0,0
9,3,0,0.5,3,0.0321260054560001,1,0,0
18,3,0,0.0,2,0.017671108014982898,2,0,0
13,6,0,0.0,4,1.1914970222553827,0,0,0
10,0,0,0.0,4,0.11549679136536346,1,0,0
15,1,0,0.0,1,0.504469415630964,3,0,0
9,6,0,0.0,2,0.7449140108512851,1,0,0
11,5,0,0.0,2,0.4473852102192495,4,0,0
9,2,0,0.0,2,0.02198465172824418,2,0,0
13,3,0,1.0,2,1.2241373375388265,0,1,0
11,1,0,0.0,2,0.008455103121316336,4,0,0
15,1,0,0.0,4,1.1480176668994215,2,0,0
13,2,0,0.0,1,1.7902209901309647,1,0,0
8,2,0,0.0,1,0.45369095113847524,1,0,0
10,3,0,0.0,1,0.6135081305800132,2,0,0
15,0,0,0.0,2,0.5185136490753763,1,0,0
18,6,0,0.0,1,0.3943998528981375,2,1,0
20,6,0,0.0,1,1.7473051884106425,2,0,0
8,4,0,0.5,3,1.7949512989470062,1,0,0
16,3,0,0.0,2,0.3273572867730981,1,0,0
15,1,0,0.0,1,0.7637545122946027,5,0,0
16,5,0,0.0,1,2.092824293524385,1,0,0
11,4,0,0.0,3,2.6173678009960235,6,0,0
8,1,0,0.0,0,0.5689821871503237,4,0,0
10,6,0,0.5,2,0.4823889959965979,2,0,0
18,5,0,0.5,3,0.2613538073505541,1,0,0
21,6,0,0.0,0,2.5528504327541937,1,0,0
18,4,0,1.0,3,0.12328056236890768,3,0,0
